iter	Passed	Remaining
375	1648	2736
376	1650	2726
377	1651	2717
378	1652	2707
379	1653	2698
380	1656	2691
381	1657	2682
382	1659	2672
383	1660	2664
384	1662	2655
385	1663	2646
386	1665	2637
387	1667	2630
388	1680	2640
389	1686	2637
390	1694	2639
391	1703	2642
392	1712	2645
393	1726	2655
394	1730	2650
395	1741	2656
396	1749	2657
397	1766	2672
398	1768	2663
399	1774	2661
400	1786	2668
401	1789	2662
402	1798	2664
403	1807	2666
404	1817	2669
405	1824	2669
406	1829	2665
407	1837	2665
408	1844	2665
409	1849	2661
410	1851	2652
411	1859	2653
412	1866	2652
413	1870	2647
414	1876	2645
415	1887	2649
416	1891	2643
417	1900	2646
418	1912	2651
419	1920	2652
420	1930	2654
421	1932	2646
422	1941	2648
423	1949	2648
424	1952	2641
425	1960	2642
426	1969	2642
427	1971	2635
428	1981	2636
429	1990	2637
430	1991	2629
431	2010	2643
432	2014	2637
433	2023	2639
434	2032	2640
435	2036	2634
436	2045	2635
437	2053	2635
438	2067	2642
439	2072	2637
440	2084	2641
441	2091	2640
442	2102	2643
443	2109	2641
444	2117	2640
445	2125	2640
446	2134	2640
447	2153	2653
448	2167	2659
449	2173	2656
450	2184	2658
451	2194	2660
452	2203	2660
453	2211	2659
454	2215	2654
455	2230	2661
456	2236	2656
457	2250	2663
458	2259	2663
459	2267	2662
460	2276	2662
461	2281	2656
462	2293	2659
463	2297	2654
464	2308	2656
465	2318	2656
466	2328	2657
467	2340	2660
468	2350	2660
469	2359	2660
470	2363	2654
471	2373	2655
472	2380	2651
473	2382	2644
474	2395	2647
475	2401	2644
476	2409	2641
477	2418	2640
478	2425	2638
479	2433	2636
480	2442	2635
481	2446	2628
482	2464	2637
483	2473	2637
484	2484	2638
485	2488	2632
486	2497	2631
487	2505	2628
488	2515	2628
489	2524	2627
490	2530	2623
491	2540	2623
492	2550	2622
493	2559	2621
494	2567	2619
495	2572	2614
496	2580	2612
497	2588	2609
498	2593	2604
499	2604	2604
500	2610	2599
501	2617	2596
502	2625	2594
503	2630	2589
504	2635	2583
505	2647	2584
506	2651	2578
507	2662	2578
508	2672	2577
509	2678	2573
510	2687	2571
511	2692	2566
512	2694	2558
513	2701	2554
514	2708	2550
515	2713	2545
516	2719	2540
517	2729	2539
518	2734	2534
519	2738	2527
520	2744	2523
521	2753	2521
522	2754	2512
523	2762	2509
524	2771	2507
525	2774	2500
526	2779	2494
527	2786	2490
528	2794	2487
529	2795	2479
530	2803	2476
531	2809	2471
532	2816	2467
533	2816	2458
534	2823	2453
535	2829	2449
536	2836	2445
537	2859	2455
538	2864	2449
539	2872	2446
540	2877	2441
541	2879	2433
542	2884	2427
543	2891	2423
544	2898	2419
545	2900	2412
546	2905	2406
547	2912	2402
548	2919	2398
549	2921	2390
550	2922	2381
551	2923	2372
552	2924	2364
553	2925	2355
554	2926	2346
555	2927	2337
556	2928	2329
557	2929	2320
558	2930	2312
559	2931	2303
560	2932	2294
561	2933	2286
562	2934	2277
563	2935	2269
564	2936	2260
565	2937	2252
566	2938	2244
567	2939	2235
568	2940	2227
569	2941	2219
570	2943	2211
571	2944	2203
572	2945	2194
573	2946	2186
574	2947	2178
575	2948	2170
576	2949	2162
577	2950	2154
578	2951	2146
579	2952	2138
580	2953	2129
581	2954	2121
582	2955	2113
583	2956	2105
584	2957	2098
585	2958	2090
586	2959	2082
587	2960	2074
588	2961	2066
589	2962	2058
590	2963	2050
591	2968	2045
592	2974	2041
593	2980	2037
594	2982	2029
595	2983	2022
596	2983	2014
597	2984	2006
598	2985	1998
599	2986	1991
600	2987	1983
601	2988	1975
602	2989	1968
603	2990	1960
604	2991	1952
605	2992	1945
606	2993	1937
607	2994	1930
608	2995	1923
609	2996	1915
610	2997	1908
611	2998	1900
612	2998	1893
613	2999	1885
614	3000	1878
615	3001	1871
616	3002	1863
617	3003	1856
618	3004	1849
619	3005	1841
620	3005	1834
621	3006	1827
622	3007	1820
623	3008	1812
624	3009	1805
625	3010	1798
626	3011	1791
627	3012	1784
628	3013	1777
629	3014	1770
630	3015	1763
631	3016	1756
632	3016	1749
633	3018	1742
634	3019	1735
635	3020	1728
636	3021	1721
637	3021	1714
638	3022	1707
639	3023	1700
640	3024	1694
641	3025	1687
642	3026	1680
643	3027	1673
644	3028	1666
645	3029	1660
646	3030	1653
647	3031	1646
648	3031	1639
649	3032	1632
650	3033	1626
651	3033	1619
652	3039	1615
653	3046	1611
654	3052	1607
655	3053	1601
656	3054	1594
657	3055	1587
658	3055	1581
659	3056	1574
660	3057	1568
661	3058	1561
662	3059	1555
663	3060	1548
664	3061	1542
665	3061	1535
666	3062	1529
667	3063	1522
668	3064	1516
669	3065	1509
670	3066	1503
671	3067	1497
672	3068	1490
673	3068	1484
674	3069	1478
675	3070	1471
676	3071	1465
677	3072	1459
678	3073	1452
679	3074	1446
680	3074	1440
681	3075	1434
682	3076	1427
683	3077	1421
684	3078	1415
685	3079	1409
686	3080	1403
687	3081	1397
688	3082	1391
689	3083	1385
690	3083	1379
691	3084	1372
692	3085	1367
693	3086	1361
694	3087	1355
695	3088	1349
696	3089	1343
697	3090	1337
698	3091	1331
699	3092	1325
700	3093	1319
701	3094	1313
702	3095	1307
703	3096	1301
704	3097	1295
705	3097	1290
706	3098	1284
707	3099	1278
708	3100	1272
709	3101	1266
710	3101	1260
711	3107	1257
712	3113	1253
713	3120	1249
714	3123	1244
715	3130	1241
716	3137	1238
717	3140	1233
718	3141	1227
719	3142	1222
720	3143	1216
721	3143	1210
722	3144	1204
723	3145	1198
724	3145	1193
725	3151	1189
726	3158	1185
727	3164	1182
728	3165	1176
729	3166	1171
730	3167	1165
731	3168	1160
732	3169	1154
733	3170	1148
734	3171	1143
735	3171	1137
736	3172	1132
737	3173	1126
738	3174	1121
739	3175	1115
740	3176	1110
741	3177	1104
742	3178	1099
743	3179	1093
744	3180	1088
745	3181	1083
746	3182	1077
747	3183	1072
748	3183	1066
749	3184	1061
750	3185	1056
751	3186	1050
752	3187	1045
753	3188	1040
754	3189	1034
755	3189	1029
756	3190	1024
757	3191	1019
758	3192	1013
759	3193	1008
760	3194	1003
761	3195	998
762	3196	992
763	3197	987
764	3198	982
765	3199	977
766	3200	972
767	3201	966
768	3201	961
769	3202	956
770	3203	951
771	3204	946
772	3205	941
773	3206	936
774	3207	931
775	3208	926
776	3209	921
777	3210	915
778	3211	910
779	3212	905
780	3212	900
781	3213	895
782	3214	890
783	3219	886
784	3227	883
785	3233	880
786	3234	875
787	3235	870
788	3235	865
789	3236	860
790	3239	855
791	3246	852
792	3252	849
793	3256	844
794	3256	839
795	3257	834
796	3258	829
797	3259	825
798	3265	821
799	3272	818
800	3278	814
801	3279	809
802	3280	804
803	3281	799
804	3282	795
805	3283	790
806	3284	785
807	3285	780
808	3286	775
809	3287	771
810	3287	766
811	3288	761
812	3289	756
813	3290	751
814	3291	747
815	3292	742
816	3293	737
817	3294	732
818	3295	728
819	3296	723
820	3297	718
821	3298	714
822	3299	709
823	3300	704
824	3300	700
825	3301	695
826	3302	690
827	3303	686
828	3304	681
829	3305	677
830	3306	672
831	3307	667
832	3308	663
833	3309	658
834	3310	654
835	3311	649
836	3311	644
837	3312	640
838	3313	635
839	3314	631
840	3315	626
841	3316	622
842	3317	617
843	3319	613
844	3320	609
845	3321	604
846	3322	600
847	3323	595
848	3324	591
849	3325	586
850	3326	582
851	3326	577
852	3327	573
853	3329	569
854	3335	565
855	3342	562
856	3346	558
857	3347	554
858	3348	549
859	3353	545
860	3360	542
861	3366	538
862	3369	534
863	3369	530
864	3371	526
865	3371	521
866	3372	517
867	3373	513
868	3374	508
869	3375	504
870	3376	500
871	3377	495
872	3378	491
873	3379	487
874	3380	482
875	3381	478
876	3382	474
877	3382	470
878	3383	465
879	3384	461
880	3385	457
881	3386	453
882	3387	448
883	3388	444
884	3389	440
885	3390	436
886	3391	432
887	3392	427
888	3393	423
889	3394	419
890	3395	415
891	3396	411
892	3396	407
893	3397	402
894	3398	398
895	3399	394
896	3400	390
897	3401	386
898	3402	382
899	3403	378
900	3404	374
901	3405	369
902	3406	365
903	3407	361
904	3408	357
905	3409	353
906	3409	349
907	3411	345
908	3412	341
909	3412	337
910	3413	333
911	3414	329
912	3415	325
913	3416	321
914	3418	317
915	3425	314
916	3431	310
917	3435	306
918	3436	302
919	3437	298
920	3438	294
921	3439	290
922	3440	287
923	3441	283
924	3442	279
925	3443	275
926	3444	271
927	3445	267
928	3445	263
929	3446	259
930	3447	255
931	3449	251
932	3449	247
933	3450	243
934	3451	239
935	3452	236
936	3453	232
937	3454	228
938	3455	224
939	3456	220
940	3457	216
941	3458	212
942	3459	209
943	3460	205
944	3461	201
945	3461	197
946	3463	193
947	3464	190
948	3464	186
949	3465	182
950	3466	178
951	3467	174
952	3468	171
953	3469	167
954	3470	163
955	3471	159
956	3472	156
957	3473	152
958	3474	148
959	3475	144
960	3475	141
961	3476	137
962	3478	133
963	3479	129
964	3480	126
965	3481	122
966	3481	118
967	3482	115
968	3483	111
969	3484	107
970	3484	104
971	3485	100
972	3487	96
973	3494	93
974	3501	89
975	3505	86
976	3506	82
977	3507	78
978	3508	75
979	3509	71
980	3510	67
981	3511	64
982	3512	60
983	3513	57
984	3514	53
985	3515	49
986	3516	46
987	3517	42
988	3518	39
989	3519	35
990	3520	31
991	3520	28
992	3521	24
993	3522	21
994	3523	17
995	3524	14
996	3525	10
997	3526	7
998	3527	3
999	3529	0
